GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
task-manager,com.example.task_manager.service,TaskService,0,3,0,0,0,1,0,1,0,1
task-manager,com.example.task_manager.service,AuthInfoService,15,202,2,8,3,48,4,12,2,9
task-manager,com.example.task_manager.service,TeamService,26,295,3,7,5,72,6,17,3,15
task-manager,com.example.task_manager.service,NotificationService,46,306,2,10,8,80,4,23,2,19
task-manager,com.example.task_manager.service,AdminService,209,690,8,10,27,161,25,30,17,29
task-manager,com.example.task_manager.service,IsAssignedService,6,157,0,2,0,32,1,10,1,9
task-manager,com.example.task_manager.service,TeamMemberService,132,582,22,30,15,144,36,19,14,15
task-manager,com.example.task_manager.service,IsMemberOfService,5,185,0,2,0,38,1,11,1,10
task-manager,com.example.task_manager.controller,AdminAccountController,30,75,0,0,10,23,0,6,0,6
task-manager,com.example.task_manager.controller,IsAssignedController,12,28,0,0,4,6,0,4,0,4
task-manager,com.example.task_manager.controller,AuthController,5,42,1,1,1,14,1,3,0,3
task-manager,com.example.task_manager.controller,TeamMemberController,50,31,0,0,14,9,2,4,2,4
task-manager,com.example.task_manager.controller,TeamController,32,58,0,0,12,14,0,7,0,7
task-manager,com.example.task_manager.controller,TaskController,18,30,0,0,6,9,0,4,0,4
task-manager,com.example.task_manager.controller,NotificationController,26,39,0,0,10,11,0,6,0,6
task-manager,com.example.task_manager.controller,IsMemberOfController,12,28,0,0,4,6,0,4,0,4
task-manager,com.example.task_manager.controller,TeamMemberAccountController,73,44,0,0,23,13,3,4,3,4
task-manager,com.example.task_manager.controller,AdminController,45,45,0,0,14,12,1,6,1,6
task-manager,com.example.task_manager.enums,RoleType,0,15,0,0,0,3,0,1,0,1
task-manager,com.example.task_manager.enums,NotificationType,0,57,0,0,0,10,0,1,0,1
task-manager,com.example.task_manager.enums,TaskPriority,0,21,0,0,0,4,0,1,0,1
task-manager,com.example.task_manager.entity,IsMemberOf,16,31,3,1,5,13,3,7,1,7
task-manager,com.example.task_manager.entity,AuthInfo,24,48,6,4,7,17,7,8,2,8
task-manager,com.example.task_manager.entity,Team,46,74,10,2,11,19,10,10,4,10
task-manager,com.example.task_manager.entity,Admin,0,20,0,0,0,7,0,3,0,3
task-manager,com.example.task_manager.entity,Notification,20,57,0,0,10,21,5,12,5,12
task-manager,com.example.task_manager.entity,TeamMember,39,176,9,5,9,45,10,17,3,17
task-manager,com.example.task_manager.entity,IsAssigned,37,27,6,0,14,10,7,6,4,6
task-manager,com.example.task_manager.entity,Task,48,135,12,10,10,48,13,22,2,22
task-manager,com.example.task_manager.config,WebConfig,0,8,0,0,0,2,0,2,0,2
task-manager,com.example.task_manager.config,WebConfig.new WebMvcConfigurer() {...},0,52,0,0,0,8,0,2,0,2
task-manager,com.example.task_manager.DTO,TeamDTO,0,36,0,0,0,15,0,8,0,8
task-manager,com.example.task_manager.DTO,UpdateEmailRequestDTO,0,16,0,0,0,8,0,4,0,4
task-manager,com.example.task_manager.DTO,IsAssignedDTO,10,43,0,0,1,18,1,9,1,9
task-manager,com.example.task_manager.DTO,PasswordChangeRequestDTO,36,0,0,0,15,0,8,0,8,0
task-manager,com.example.task_manager.DTO,ResetPasswordRequestDTO,0,26,0,0,0,11,0,6,0,6
task-manager,com.example.task_manager.DTO,TeamMemberDTO,4,39,0,0,2,16,1,8,1,8
task-manager,com.example.task_manager.DTO,AdminRequestDTO,0,36,0,0,0,15,0,8,0,8
task-manager,com.example.task_manager.DTO,TeamMemberWithTeamLeadDTO,15,58,0,0,7,23,4,11,4,11
task-manager,com.example.task_manager.DTO,AuthInfoDTO,0,40,0,0,0,17,0,9,0,9
task-manager,com.example.task_manager.DTO,TaskDTO,0,106,0,0,0,43,0,22,0,22
task-manager,com.example.task_manager.DTO,TaskRequestDTO,0,86,0,0,0,35,0,18,0,18
task-manager,com.example.task_manager.DTO,TeamRequestDTO,0,36,0,0,0,16,0,8,0,8
task-manager,com.example.task_manager.DTO,AdminDTO,4,39,0,0,2,16,1,8,1,8
task-manager,com.example.task_manager.DTO,TeamMemberInTeamDTO,4,49,0,0,2,20,1,10,1,10
task-manager,com.example.task_manager.DTO,IsMemberOfDTO,0,33,0,0,0,14,0,7,0,7
task-manager,com.example.task_manager.DTO,NotificationDTO,0,73,0,0,0,30,0,15,0,15
task-manager,com.example.task_manager.DTO,ChangeRoleRequestDTO,0,16,0,0,0,8,0,4,0,4
task-manager,com.example.task_manager.DTO,UpdateNameRequestDTO,0,16,0,0,0,8,0,4,0,4
task-manager,com.example.task_manager,TaskManagerApplication,5,3,0,0,2,1,1,1,1,1
